Name,Accepted Materials,Address,County,Phone Number
All American Recycling Corp.,Cardboard* Paper,2 Hope Street* Jersey City* NJ,Hudson,201-656-3363
Galaxy Recycling,Cardboard* Glass* Metal* Paper* Plastic(1*2*5),3 New York Avenue* Jersey City* NJ,Hudson,201-420-4321
Interstate Waste Services of New Jersey* Inc. Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),375 Routes 1 & 9 South* Jersey City* NJ,Hudson,201-830-3250
Reliable Paper Recycling,Cardboard* Glass* Metal* Paper* Plastic(1*2*5*6),1 Caven Point Avenue* Jersey City* NJ,Hudson,201-333-5244
Sims Metal Management* LLC Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2*3*4*5*6*7),One Linden Avenue East* Jersey City* NJ,Hudson,201-577-3114
Sims Municipal Recycling,Cardboard* Metal* Paper* Plastic(1*2*3*4*5*6*7),5 Linden Avenue East* Jersey City* NJ,Hudson,201-577-3114
Hunterdon County Transfer Station,Cardboard* Glass* Metal* Paper* Plastic(1*2*3*4*5*6*7),10 Petticoat Lane* Annandale* NJ,Hunterdon,908-788-1110
Accurate Document Destruction and Recycling* Inc.,Cardboard* Paper,649 Whitehead Rd* Lawrenceville* NJ,Mercer,609-393-6445
Central Jersey Waste & Recycling (National Waste),Cardboard* Glass* Metal* Paper* Plastic(1*2),432 Stokes Avenue* Ewing* NJ,Mercer,609-586-9200
F&M Holdings,Cardboard* Glass* Metal* Paper,500 Breunig Ave.* Trenton NJ,Mercer,609-695-8200
Hamilton Auto Scrap Recycling,Metal,225 Turnbull Avenue* Hamilton* NJ,Mercer,877-551-8522
Mercer Group International,Cardboard* Glass* Metal* Paper* Plastic(1*2),4 Beakes Street* Ewing* NJ,Mercer,609-393-1645
Mercer Wrecking and Recycling,Metal,1519 Calhoun Street* Trenton* NJ,Mercer,609-394-9494
Scarpati Scrap Metals,Metal,10 Nottingham Way* Trenton,Mercer,609-396-7040
Trenton Iron and Metal,Metal,301 Enterprise Avenue* Trenton* NJ,Mercer,609-396-2250
Waste Management Recycle America,Cardboard* Glass* Metal* Paper* Plastic(1*2),309 Enterprise Ave* Trenton* NJ,Mercer,N/A
American Recycling Services,Cardboard* Glass* Metal* Paper* Plastic(1*2),21 Edgeboro Road* East Brunswick* NJ,Middlesex,732-967-1565
Bayshore Recycling Corp. Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2*3*4*5*6*7),75 Crows Mill Road* P.O. Box 290* Keasbey* NJ,Middlesex,732-738-6000
Beacon Scrap Metal Co. Inc.,Metal,73 Main St* South Amboy* NJ,Middlesex,732-727-2300
Coastal Metal Recycling Corp.,Metal,75 Crows Mill Road* Keasbey* NJ,Middlesex,732-738-6000
Colgate Paper Stock Co.* Inc. Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),12 Industrial Drive* New Brunswick* NJ,Middlesex,732-246-8446
Empire Recycling,Cardboard* Paper,355 Meadow Road* Edison* NJ,Middlesex,732-393-0200
GP Harmon Recycling,Cardboard* Paper,300 Mill Road* Edison* NJ,Middlesex,732-248-2640
Importico's Transfer Corp.,Cardboard* Glass* Metal* Paper* Plastic(1*2),120 Baekeland Avenue* Middlesex* NJ,Middlesex,732-356-3882
A & A Iron & Metal,Metal,80 Hendrickson Rd.* Freehold* NJ,Monmouth,N/A
Atlantic Coast Fibers,Cardboard* Glass* Metal* Paper* Plastic(1*2),101 Memorial Drive* Neptune* NJ,Monmouth,N/A
Beacon Metal,Metal,215 Throckmorton Street* Freehold* NJ,Monmouth,732-462-0543
John Blewett,Metal,246 Herbertsville Road* Howell* NJ,Monmouth,732-938-5331
Brick Recycling Co.* Inc.,Metal,5310 Highway 34* Wall* NJ,Monmouth,N/A
Freehold Cartage Inc.,Cardboard* Glass* Metal* Paper* Plastic(1*2),825 Highway 33 East* Freehold* NJ,Monmouth,732-462-1001
Mazza Scrap Metal,Metal,101 Memorial Drive* Neptune* NJ,Monmouth,732-774-4100
ReCommunity Farmingdale Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),15 Railroad Ave.* Farmingdale* NJ,Monmouth,732-751-9041
Recycling Technology Center,Metal,3230 Shafto Road* Tinton Falls* NJ,Monmouth,732-922-9292
Red Bank Recycling,Metal,64 Central Avenue* Red Bank* NJ,Monmouth,732-747-7779
Red Bank Recycling Container Service,Metal,64 Central Avenue* Red Bank* NJ,Monmouth,732-747-7667
Waste Management Recycle America,Cardboard* Glass* Metal* Paper* Plastic(1*2),3418 Sunset Avenue* Ocean* NJ,Monmouth,732-922-9420
DonJon Recycling,Metal,1601 Richards Ave.* Dover* NJ,Morris,973-366-2716
ReCommunity  Morris* Inc. Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),103 Iron Mountain Road* Mine Hill* NJ,Morris,973-328-7001
Rockaway Recycling,Metal,311 West Main Street* Rockaway* NJ,Morris,973-625-9560
Roxbury Auto Wreckers,Metal,364 West Dewey Avenue* Kenvil* NJ,Morris,800-452-9122
Trinity Recycling of New Jersey,Cardboard* Paper,116 Iron Mountain Road* Mine Hill* NJ,Morris,973-366-9199
Waste Management Recycle America Intermediate Processing Facility,Cardboard* Glass* Metal* Paper* Plastic(1*2),611 New Hampshire Avenue* Lakewood* NJ,Ocean,732-905-4457
Acme Scrap,Metal,51 Leigh Ave* Paterson* NJ,Passaic,973-278-1710
Alpart Scrap Iron & Metal,Metal,148 East Holsman Street* Paterson* NJ,Passaic,973-790-3424
Atlantic Coast Fibers,Cardboard* Glass* Metal* Paper* Plastic(1*2),101 7th Street* Passaic* NJ,Passaic,973-614-9600
Gaeta Recycling Co. Inc.,Cardboard* Glass* Metal* Paper* Plastic(1*2),278 West Railway Avenue* Paterson* NJ,Passaic,973-278-6625
GM Scrap & Metal,Metal,222 Presidential Boulevard* Paterson* NJ,Passaic,973-790-7959
Park Stein Inc,Metal,613-639 Route 46 East* Clifton* NJ,Passaic,973-340-3535
Scuffy Carting* LLC,Cardboard* Glass* Metal* Paper* Plastic(1*2),80 Liberty Street* Passaic* NJ,Passaic,973-778-3232
Waste Management,Cardboard* Paper,79 Florida Avenue* Paterson* NJ,Passaic,973-345-2293
M & A Recycling,Metal,65 Old Camplain Road* Hillsborough* NJ,Somerset,908-218-9191
Somerset County Recycling Center,Cardboard* Glass* Metal* Paper* Plastic(1*2),40 Polhemus Lane* Bridgewater* NJ,Somerset,732-469-3363
Georges Salvage,Metal,10 South Park Drive* Newton* NJ,Sussex,973-383-4471
Goldmine Enterprises* LLC,Cardboard* Glass* Metal* Paper* Plastic(1*2*3*4*5*6*7),134 Milton Road* Sparta* NJ,Sussex,973-786-7499
Raimo of Stanhope,Metal,US Highway 206 North* Stanhope* NJ,Sussex,973-347-4545
Sussex County Municipal Utilities Authority,Cardboard* Glass* Metal* Paper* Plastic(1*2),34 South Route 94* Lafayette* NJ,Sussex,973-579-6998
N/A,N/A,N/A,Union,N/A
Warren County Recycling Center,Cardboard* Glass* Metal* Paper* Plastic(1*2*5),185 Route 519* White* NJ,Warren,908-453-2174
